Serial No,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex,Ranking
710,vijayavjvjvj,"University of Minnesota, Twin Cities",Management Information System,Fall 2015 ,Admit,319,TOEFL,110,75%,0,4
711,Prachigupta,"University of Minnesota, Twin Cities",Management Information System,Fall 2018 ,Reject,316,TOEFL,103,81%,28,4
712,dpaulswa,"University of Minnesota, Twin Cities",Management Information System,Fall 2016 ,Reject,300,TOEFL,94,8.1 CGPA ,29,4
713,sohilveljee.stupidsid,"University of Minnesota, Twin Cities",Management Information System,Fall 2013 ,Reject,321,TOEFL,113,8.83 CGPA ,20,4
714,ishitap2018,"University of Minnesota, Twin Cities",Management Information System,Fall 2019 ,Interested,311,ENG TEST,0,68%,45,4
716,AnkitaGhosh,"University of Minnesota, Twin Cities",Management Information System,Fall 2019 ,Interested,296,TOEFL,97,8.85 CGPA ,22,4
718,aviralpushkarna,"University of Minnesota, Twin Cities",Management Information System,Fall 2019 ,Interested,318,ENG TEST,0,7.71 CGPA ,0,4
722,Sujesh,"University of Minnesota, Twin Cities",Management Information System,Fall 2019 ,Interested,321,TOEFL,114,7.58 CGPA ,38,4
723,prabhu12456,"University of Minnesota, Twin Cities",Management Information System,Spring 2019 ,Interested,312,TOEFL,109,7.2 CGPA ,33,4
725,Bubbloo,"University of Minnesota, Twin Cities",Management Information System,Spring 2019 ,Interested,304,TOEFL,106,87%,60,4
726,Ram1199,"University of Minnesota, Twin Cities",Management Information System,Spring 2019 ,Interested,305,IELTS,7,62%,8,4
728,shoaib123,"University of Minnesota, Twin Cities",Management Information System,Spring 2018 ,Interested,320,TOEFL,95,72%,14,4
729,Raveesh94,"University of Minnesota, Twin Cities",Management Information System,Fall 2019 ,Interested,320,ENG TEST,0,7.69 CGPA ,7,4
732,Aavishkar,"University of Minnesota, Twin Cities",Management Information System,Spring 2019 ,Interested,300,TOEFL,101,7.5 CGPA ,1,4
735,Rohan0901,Northeastern University,Information Systems,Spring 2019 ,Applied,308,TOEFL,92,63.33%,60,29
736,shaanad,Northeastern University,Information Systems,Spring 2019 ,Applied,320,TOEFL,108,66%,15,29
737,Dhruv94,Northeastern University,Information Systems,Fall 2018 ,Applied,303,TOEFL,85,6.3 CGPA ,6,29
739,annahita77,Northeastern University,Information Systems,Spring 2019 ,Applied,287,TOEFL,87,8.8 CGPA ,18,29
740,bodepudi,Northeastern University,Information Systems,Spring 2019 ,Applied,308,IELTS,7,81%,20,29
741,753255,Northeastern University,Information Systems,Fall 2018 ,Applied,313,TOEFL,107,62%,6,29
742,Pravindubey,Northeastern University,Information Systems,Fall 2018 ,Applied,289,TOEFL,102,61%,33,29
743,Achira,Northeastern University,Information Systems,Fall 2018 ,Applied,310,TOEFL,96,65%,24,29
744,vichemb,Northeastern University,Information Systems,Fall 2018 ,Applied,296,TOEFL,100,6.2 CGPA ,0,29
745,Nickesh,Northeastern University,Information Systems,Fall 2017 ,Applied,301,TOEFL,97,67.80%,40,29
746,Priyank7,Northeastern University,Information Systems,Fall 2018 ,Applied,293,TOEFL,81,64%,44,29
747,kau,Northeastern University,Information Systems,Fall 2018 ,Applied,307,ENG TEST,0,7.5 CGPA ,4,29
748,Bhanu Chander,Northeastern University,Information Systems,Fall 2018 ,Applied,305,IELTS,6,69%,26,29
749,rohitdiwadkar,Northeastern University,Information Systems,Fall 2018 ,Applied,300,TOEFL,85,6.52 CGPA ,17,29
750,pahuja081,Northeastern University,Information Systems,Fall 2018 ,Applied,296,TOEFL,93,62%,45,29
751,jithinreddy15,Northeastern University,Information Systems,Fall 2018 ,Applied,290,IELTS,7,65.30%,4,29
752,ald,Northeastern University,Information Systems,Fall 2018 ,Applied,310,TOEFL,99,57%,43,29
754,bhumiii3,Northeastern University,Information Systems,Fall 2018 ,Applied,297,TOEFL,98,6.08 CGPA ,0,29
755,ChinmayArolkar,Northeastern University,Information Systems,Fall 2018 ,Admit,298,TOEFL,82,6.22 CGPA ,0,29
756,AKHILPRASAD1994RAMAIAH,Northeastern University,Information Systems,Fall 2018 ,Admit,305,TOEFL,102,8.33 CGPA ,3,29
757,AmanNankani,Northeastern University,Information Systems,Fall 2018 ,Admit,313,TOEFL,102,79%,0,29
758,nbcool,Northeastern University,Information Systems,Fall 2018 ,Admit,306,TOEFL,99,8.5 CGPA ,0,29
759,Sashank1005,Northeastern University,Information Systems,Fall 2018 ,Admit,306,TOEFL,104,80.22%,20,29
762,AyushiM,Northeastern University,Information Systems,Fall 2018 ,Admit,296,TOEFL,83,7.01 CGPA ,3,29
763,tejshah,Northeastern University,Information Systems,Fall 2018 ,Admit,309,TOEFL,104,56%,38,29
764,dhadwal,Northeastern University,Information Systems,Fall 2018 ,Admit,331,TOEFL,107,64.36%,24,29
765,YogitaP,Northeastern University,Information Systems,Fall 2018 ,Admit,303,TOEFL,87,68%,60,29
766,nishant2996,Northeastern University,Information Systems,Fall 2018 ,Admit,303,TOEFL,89,6.5 CGPA ,0,29
767,nidhisa1989,Northeastern University,Information Systems,Fall 2018 ,Admit,306,TOEFL,96,73%,60,29
768,Wqureshi,Northeastern University,Information Systems,Fall 2018 ,Admit,305,ENG TEST,0,72.40%,51,29
770,ishanja1996,Northeastern University,Information Systems,Fall 2018 ,Admit,307,TOEFL,97,6 CGPA ,0,29
772,Salonee,Northeastern University,Information Systems,Fall 2018 ,Admit,305,TOEFL,0,8.65 CGPA ,8,29
773,VAIBHAVRAJ,Northeastern University,Information Systems,Fall 2018 ,Admit,299,TOEFL,84,8.64 CGPA ,67,29
774,hjhimanshujoshi529,Northeastern University,Information Systems,Fall 2017 ,Admit,302,TOEFL,102,5.6 CGPA ,8,29
775,rajsoni,Northeastern University,Information Systems,Fall 2018 ,Reject,293,TOEFL,101,8.72 CGPA ,20,29
776,deep3096,Northeastern University,Information Systems,Fall 2018 ,Reject,301,TOEFL,0,7.13 CGPA ,0,29
777,Rushikesh420,Northeastern University,Information Systems,Fall 2018 ,Reject,298,TOEFL,0,57.43%,6,29
778,sandy90wagh,Northeastern University,Information Systems,Fall 2018 ,Reject,292,TOEFL,72,59%,48,29
779,gumiho,Northeastern University,Information Systems,Spring 2018 ,Reject,289,IELTS,7,78.53%,24,29
780,dhruv070,Northeastern University,Information Systems,Spring 2018 ,Reject,300,TOEFL,97,7.1 CGPA ,5,29
781,srbhklkrn,Northeastern University,Information Systems,Fall 2017 ,Reject,293,TOEFL,87,5.92 CGPA ,11,29
782,aadityag01,Northeastern University,Information Systems,Fall 2017 ,Reject,315,TOEFL,111,8.12 CGPA ,25,29
783,Devavrat,Northeastern University,Information Systems,Fall 2017 ,Reject,307,TOEFL,99,60.35%,20,29
784,vatsy61,Northeastern University,Information Systems,Fall 2017 ,Reject,303,TOEFL,88,70.10%,23,29
785,kamath.sanket4,Northeastern University,Information Systems,Fall 2016 ,Reject,293,TOEFL,107,7.7 CGPA ,0,29
786,Ronza3490,Northeastern University,Information Systems,Spring 2017 ,Reject,290,TOEFL,86,8.25 CGPA ,48,29
787,mohansharma21,Northeastern University,Information Systems,Fall 2016 ,Reject,304,TOEFL,90,66%,46,29
788,Kapilan,Northeastern University,Information Systems,Fall 2016 ,Reject,300,TOEFL,99,7.3 CGPA ,0,29
789,jalaj18,Northeastern University,Information Systems,Fall 2016 ,Reject,316,TOEFL,107,77%,40,29
790,dpranavsai,Northeastern University,Information Systems,Fall 2016 ,Reject,301,TOEFL,92,71%,20,29
791,agraj,Northeastern University,Information Systems,Fall 2016 ,Reject,314,TOEFL,109,7.18 CGPA ,0,29
792,varunforest,Northeastern University,Information Systems,Fall 2016 ,Reject,304,ENG TEST,0,8.06 CGPA ,17,29
794,ankitbapat123,Northeastern University,Information Systems,Fall 2019 ,Interested,308,TOEFL,101,70%,30,29
797,sandeepyadav599,Northeastern University,Information Systems,Fall 2020 ,Interested,310,TOEFL,92,5.5 CGPA ,0,29
798,ShamsTabrez,Northeastern University,Information Systems,Spring 2019 ,Interested,298,ENG TEST,0,67%,23,29
799,GraduateShri1234,Northeastern University,Information Systems,Fall 2018 ,Interested,303,TOEFL,98,78.28%,46,29
800,namitaka1992,Northeastern University,Information Systems,Fall 2019 ,Interested,315,TOEFL,110,64%,44,29
801,vivekku9944,Northeastern University,Information Systems,Fall 2018 ,Interested,293,TOEFL,82,55%,22,29
803,vbsabbisetty,Northeastern University,Information Systems,Fall 2018 ,Interested,312,TOEFL,102,9.05 CGPA ,2,29
804,Cassin,Northeastern University,Information Systems,Fall 2018 ,Interested,296,ENG TEST,0,7.72 CGPA ,0,29
805,SakshiMsUs,Northeastern University,Information Systems,Spring 2018 ,Interested,304,TOEFL,95,67%,35,29
806,ratnamandava,Northeastern University,Information Systems,Fall 2019 ,Interested,322,ENG TEST,0,6.45 CGPA ,1,29
807,aastha1897,Northeastern University,Information Systems,Spring 2019 ,Interested,312,IELTS,7.5,7.9 CGPA ,0,29
809,kiniaditya,Northeastern University,Information Systems,Fall 2019 ,Interested,305,IELTS,7,8.11 CGPA ,0,29
810,lokesh2334,Northeastern University,Information Systems,Spring 2019 ,Interested,295,TOEFL,93,54%,41,29
812,nidhipriya1993,Northeastern University,Information Systems,Spring 2019 ,Interested,298,TOEFL,90,9.12 CGPA ,24,29
814,dhadwal,Northwestern University,Management Information System,Fall 2018 ,Applied,331,TOEFL,107,64.36%,24,2
815,jprashant21,Northwestern University,Management Information System,Fall 2016 ,Applied,319,TOEFL,104,9.21 CGPA ,30,2
816,grecs2016,Northwestern University,Management Information System,Fall 2017 ,Applied,317,TOEFL,105,80%,60,2
817,akashjain,Northwestern University,Management Information System,Fall 2016 ,Applied,318,TOEFL,110,8.2 CGPA ,20,2
818,suchinihar88,Northwestern University,Management Information System,Fall 2016 ,Applied,326,TOEFL,110,7.2 CGPA ,50,2
819,thespunkdaemon,Northwestern University,Management Information System,Fall 2016 ,Applied,316,TOEFL,109,64%,36,2
820,vijaymsinus123,Northwestern University,Management Information System,Fall 2016 ,Applied,326,TOEFL,104,7.79 CGPA ,12,2
821,apoc802,Northwestern University,Management Information System,Fall 2015 ,Applied,311,TOEFL,99,7 CGPA ,20,2
822,akashnahata,Northwestern University,Management Information System,Fall 2016 ,Applied,318,TOEFL,106,8.1 CGPA ,30,2
824,yashwanth2212,Northwestern University,Management Information System,Fall 2016 ,Applied,317,TOEFL,104,7 CGPA ,30,2
825,rapidstar5,Northwestern University,Management Information System,Fall 2016 ,Admit,311,TOEFL,101,62%,54,2
826,saurabh484,Northwestern University,Management Information System,Fall 2016 ,Admit,318,TOEFL,105,6.8 CGPA ,42,2
827,shuravi,Northwestern University,Management Information System,Fall 2018 ,Reject,303,ENG TEST,0,8.2 CGPA ,47,2
828,krishi591,Northwestern University,Management Information System,Fall 2015 ,Reject,314,TOEFL,95,58%,0,2
835,pav1993,Northwestern University,Management Information System,Fall 2019 ,Interested,310,TOEFL,0,8.98 CGPA ,35,2
837,ManeeshMettu,Northwestern University,Management Information System,Fall 2019 ,Interested,315,TOEFL,112,8.3 CGPA ,12,2
838,vivekku9944,Northwestern University,Management Information System,Fall 2018 ,Interested,293,TOEFL,82,55%,22,2
840,Nimish18,Northwestern University,Management Information System,Fall 2019 ,Interested,287,ENG TEST,0,59.90%,80,2
844,Dishu31,Northwestern University,Management Information System,Fall 2019 ,Interested,315,TOEFL,100,7.54 CGPA ,0,2
848,aman2129,Northwestern University,Management Information System,Fall 2019 ,Interested,326,TOEFL,99,8.322 CGPA ,12,2
850,ankity09,New York University,Information Systems,Fall 2018 ,Applied,310,TOEFL,112,7 CGPA ,30,33
851,Shreepriya,New York University,Information Systems,Fall 2018 ,Applied,312,TOEFL,110,8.6 CGPA ,24,33
853,heenal211,New York University,Information Systems,Fall 2018 ,Applied,313,TOEFL,100,7.65 CGPA ,0,33
854,kushalwalia,New York University,Information Systems,Fall 2018 ,Applied,315,TOEFL,0,70%,0,33
855,ashsri,New York University,Information Systems,Spring 2019 ,Applied,302,TOEFL,98,8 CGPA ,29,33
856,gaurav995,New York University,Information Systems,Fall 2018 ,Applied,311,TOEFL,102,77%,0,33
857,Kokil57,New York University,Information Systems,Fall 2018 ,Applied,322,TOEFL,110,5.66 CGPA ,6,33
858,renukapotdarr1594,New York University,Information Systems,Fall 2018 ,Applied,314,TOEFL,106,55.50%,24,33
859,Aquvator,New York University,Information Systems,Fall 2018 ,Applied,310,TOEFL,106,7.34 CGPA ,18,33
860,Aashesh,New York University,Information Systems,Fall 2018 ,Applied,308,IELTS,7.5,7.95 CGPA ,18,33
861,harsha0806,New York University,Information Systems,Spring 2018 ,Applied,311,TOEFL,97,6.5 CGPA ,9,33
863,sumeetbirla,New York University,Information Systems,Fall 2017 ,Applied,314,TOEFL,102,64%,38,33
864,tushar_tts,New York University,Information Systems,Fall 2017 ,Applied,309,TOEFL,96,7.79 CGPA ,7,33
865,disha56,New York University,Information Systems,Fall 2017 ,Applied,316,TOEFL,117,91.50%,6,33
866,Ritesh vijay ,New York University,Information Systems,Fall 2017 ,Applied,307,TOEFL,104,61%,84,33
867,anubhav,New York University,Information Systems,Fall 2017 ,Applied,316,ENG TEST,0,7.2 CGPA ,1,33
868,snehashankar,New York University,Information Systems,Fall 2017 ,Applied,319,TOEFL,110,9.5 CGPA ,16,33
869,ankitaghadi,New York University,Information Systems,Spring 2017 ,Applied,311,TOEFL,96,68%,18,33
871,RohitN,New York University,Information Systems,Fall 2017 ,Admit,311,TOEFL,107,52%,35,33
872,ShashankTops,New York University,Information Systems,Fall 2018 ,Admit,323,TOEFL,107,7.1 CGPA ,44,33
873,pshreya,New York University,Information Systems,Fall 2018 ,Admit,312,TOEFL,104,7.61 CGPA ,20,33
874,Anks89,New York University,Information Systems,Fall 2018 ,Admit,313,TOEFL,0,8.03 CGPA ,60,33
875,shubhm,New York University,Information Systems,Fall 2018 ,Admit,307,TOEFL,0,74%,15,33
876,anandaltekar,New York University,Information Systems,Fall 2018 ,Admit,320,TOEFL,107,69%,60,33
877,satya0721,New York University,Information Systems,Fall 2019 ,Admit,316,TOEFL,113,7.86 CGPA ,36,33
878,aah,New York University,Information Systems,Fall 2018 ,Admit,320,ENG TEST,0,8 CGPA ,0,33
879,Nidhi777 ,New York University,Information Systems,Fall 2018 ,Admit,310,TOEFL,103,70%,88,33
880,umangsuhalka,New York University,Information Systems,Fall 2018 ,Admit,330,TOEFL,0,65%,24,33
881,mohitghodake,New York University,Information Systems,Fall 2018 ,Admit,311,TOEFL,98,7.31 CGPA ,25,33
882,MayureshRM,New York University,Information Systems,Fall 2018 ,Admit,318,TOEFL,0,73.50%,33,33
883,sajan bang,New York University,Information Systems,Fall 2018 ,Admit,304,TOEFL,92,7.2 CGPA ,16,33
884,preetish7,New York University,Information Systems,Fall 2018 ,Admit,311,TOEFL,97,7.7 CGPA ,35,33
885,Ankeet1406,New York University,Information Systems,Fall 2018 ,Admit,326,TOEFL,111,60.10%,42,33
886,Sanchsabharwal,New York University,Information Systems,Fall 2018 ,Admit,308,TOEFL,100,9.23 CGPA ,26,33
887,Himanshi22,New York University,Information Systems,Fall 2018 ,Admit,314,TOEFL,100,76%,41,33
888,saiyogesh,New York University,Information Systems,Fall 2018 ,Admit,320,TOEFL,113,7.9 CGPA ,17,33
889,wonderMIS,New York University,Information Systems,Fall 2018 ,Admit,320,TOEFL,100,90%,34,33
890,niteshnm,New York University,Information Systems,Fall 2018 ,Reject,310,TOEFL,115,71.50%,48,33
891,Shweth94,New York University,Information Systems,Fall 2018 ,Reject,310,TOEFL,90,71%,6,33
892,Rawlani,New York University,Information Systems,Fall 2018 ,Reject,312,TOEFL,91,7.8 CGPA ,14,33
893,shruti1735,New York University,Information Systems,Fall 2018 ,Reject,320,TOEFL,0,7.54 CGPA ,7,33
894,Sandyyy,New York University,Information Systems,Fall 2018 ,Reject,305,ENG TEST,0,8.5 CGPA ,6,33
896,pateljay134,New York University,Information Systems,Spring 2018 ,Reject,310,TOEFL,95,8 CGPA ,0,33
897,adityajagitani,New York University,Information Systems,Fall 2012 ,Reject,316,TOEFL,100,62.30%,0,33
898,Ashish95arora,New York University,Information Systems,Fall 2017 ,Reject,321,TOEFL,104,8.54 CGPA ,10,33
899,Proshonjit,New York University,Information Systems,Fall 2017 ,Reject,313,TOEFL,112,55%,43,33
900,khushi26,New York University,Information Systems,Fall 2017 ,Reject,316,TOEFL,102,6.7 CGPA ,9,33
901,shraddhasubhedar,New York University,Information Systems,Fall 2016 ,Reject,320,TOEFL,113,8.14 CGPA ,0,33
902,praveendhn,New York University,Information Systems,Fall 2016 ,Reject,307,TOEFL,98,6.49 CGPA ,30,33
903,pag0220,New York University,Information Systems,Fall 2016 ,Reject,306,TOEFL,103,63%,20,33
904,vivekj,New York University,Information Systems,Fall 2015 ,Reject,320,TOEFL,108,66%,0,33
905,josemorinho8,New York University,Information Systems,Fall 2015 ,Reject,315,TOEFL,109,7 CGPA ,20,33
906,ut0501,New York University,Information Systems,Fall 2015 ,Reject,321,TOEFL,113,7 CGPA ,12,33
907,sagarbotta.stupidsid,New York University,Information Systems,Fall 2014 ,Reject,302,TOEFL,98,7.66 CGPA ,30,33
908,siddarth.stupidsid,New York University,Information Systems,Fall 2014 ,Reject,315,TOEFL,109,70.06%,10,33
909,BrianPeterson,New York University,Information Systems,Fall 2019 ,Interested,325,ENG TEST,0,70%,2,33
910,vivekku9944,New York University,Information Systems,Fall 2018 ,Interested,293,TOEFL,82,55%,22,33
912,aviralpushkarna,New York University,Information Systems,Fall 2019 ,Interested,318,ENG TEST,0,7.71 CGPA ,0,33
913,hjkkjg,New York University,Information Systems,Fall 2019 ,Interested,318,ENG TEST,0,8 CGPA ,6,33
915,bhuvana chandra,New York University,Information Systems,Spring 2019 ,Interested,298,IELTS,6.5,7.7 CGPA ,0,33
916,lokesh2334,New York University,Information Systems,Spring 2019 ,Interested,295,TOEFL,93,54%,41,33
917,sidd1694,New York University,Information Systems,Spring 2019 ,Interested,316,IELTS,7.5,69.50%,28,33
918,vaibhav7117,New York University,Information Systems,Fall 2019 ,Interested,292,TOEFL,77,6 CGPA ,10,33
921,pranavtiwari,New York University,Information Systems,Fall 2019 ,Interested,319,TOEFL,100,62.47%,12,33
924,diviraj,New York University,Information Systems,Spring 2019 ,Interested,303,TOEFL,103,9 CGPA ,2,33
925,hitesharsenalpatel,New York University,Information Systems,Fall 2018 ,Interested,311,IELTS,7,58.71%,30,33
927,advait.deshmukh,New York University,Information Systems,Fall 2018 ,Interested,321,TOEFL,105,7.1 CGPA ,1,33
928,Raveesh94,New York University,Information Systems,Fall 2019 ,Interested,320,ENG TEST,0,7.69 CGPA ,7,33
930,bpriya,Pennsylvania State University,Information Science,Fall 2018 ,Applied,315,TOEFL,102,8.2 CGPA ,16,27
931,sarafaman53,Pennsylvania State University,Information Science,Fall 2017 ,Applied,312,TOEFL,96,8.6 CGPA ,15,27
932,praneethbaru,Pennsylvania State University,Information Science,Fall 2018 ,Admit,313,TOEFL,0,87%,12,27
933,Khadutz95,Pennsylvania State University,Information Science,Fall 2018 ,Admit,316,TOEFL,117,9.1 CGPA ,4,27
934,samarth7,Pennsylvania State University,Information Science,Fall 2018 ,Admit,327,TOEFL,112,7.7 CGPA ,32,27
935,nishakk,Pennsylvania State University,Information Science,Fall 2017 ,Admit,315,TOEFL,100,8.31 CGPA ,19,27
936,Apara,Pennsylvania State University,Information Science,Fall 2017 ,Admit,316,TOEFL,109,71.40%,20,27
937,Shauryr,Pennsylvania State University,Information Science,Fall 2017 ,Admit,324,TOEFL,100,6.96 CGPA ,25,27
938,Ishaani,Pennsylvania State University,Information Science,Fall 2017 ,Admit,325,TOEFL,108,76.60%,24,27
939,vihabidre,Pennsylvania State University,Information Science,Fall 2017 ,Admit,305,TOEFL,107,8.44 CGPA ,20,27
940,pratik151192,Pennsylvania State University,Information Science,Fall 2016 ,Admit,317,TOEFL,110,9.12 CGPA ,24,27
941,sachin1994bapu,Pennsylvania State University,Information Science,Fall 2016 ,Admit,318,TOEFL,105,78.58%,0,27
942,josephnp732,Pennsylvania State University,Information Science,Fall 2018 ,Reject,307,TOEFL,0,77.34%,1,27
943,Sudarshan 1,Pennsylvania State University,Information Science,Fall 2017 ,Reject,313,TOEFL,100,80.45%,32,27
945,himaalayan,Pennsylvania State University,Information Science,Spring 2019 ,Interested,321,IELTS,7,7.35 CGPA ,36,27
947,praths6,Pennsylvania State University,Information Science,Fall 2019 ,Interested,313,ENG TEST,0,65%,22,27
951,prabhu12456,Pennsylvania State University,Information Science,Spring 2019 ,Interested,312,TOEFL,109,7.2 CGPA ,33,27
953,PriyaV3,Pennsylvania State University,Information Science,Spring 2019 ,Interested,313,ENG TEST,0,78.87%,17,27
954,apurwa4,Pennsylvania State University,Information Science,Spring 2019 ,Interested,299,ENG TEST,0,76.40%,29,27
955,AshaMohan,Pennsylvania State University,Information Science,Spring 2019 ,Interested,284,ENG TEST,0,6.54 CGPA ,39,27
957,Anuj1141,Pennsylvania State University,Information Science,Fall 2018 ,Interested,318,TOEFL,0,7.4 CGPA ,34,27
959,Chandrika,Pennsylvania State University,Information Science,Fall 2018 ,Interested,316,TOEFL,92,84.82%,0,27
960,Sandeep890,Pennsylvania State University,Information Science,Fall 2019 ,Interested,328,TOEFL,104,8.1 CGPA ,12,27
965,bhumiii3,Rochester Institute of Technology,Information Science,Fall 2018 ,Applied,297,TOEFL,98,6.08 CGPA ,0,34
966,abhi2503,Rochester Institute of Technology,Information Science,Fall 2018 ,Applied,311,IELTS,0,7.04 CGPA ,0,34
967,nav1432,Rochester Institute of Technology,Information Science,Spring 2018 ,Applied,300,IELTS,7,6.62 CGPA ,54,34
968,Prerak92,Rochester Institute of Technology,Information Science,Spring 2017 ,Applied,295,TOEFL,97,6 CGPA ,0,34
969,Anindhiya,Rochester Institute of Technology,Information Science,Spring 2017 ,Applied,306,TOEFL,104,7.88 CGPA ,0,34
970,hiteshvanjara,Rochester Institute of Technology,Information Science,Spring 2017 ,Applied,303,TOEFL,88,58%,44,34
971,munna463,Rochester Institute of Technology,Information Science,Spring 2017 ,Applied,306,TOEFL,94,72.90%,12,34
972,henilmaniar93,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,310,TOEFL,91,64%,6,34
973,eljoba,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,295,TOEFL,98,58%,42,34
974,priya11091,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,295,TOEFL,85,57.50%,14,34
975,yugigaur,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,289,TOEFL,75,63%,39,34
976,Monika,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,305,TOEFL,90,8.09 CGPA ,24,34
977,shaan1310,Rochester Institute of Technology,Information Science,Fall 2015 ,Applied,303,IELTS,7.5,56%,20,34
978,sonaligc,Rochester Institute of Technology,Information Science,Fall 2015 ,Applied,307,TOEFL,88,7 CGPA ,0,34
979,aashay28,Rochester Institute of Technology,Information Science,Spring 2016 ,Applied,301,TOEFL,99,66%,30,34
980,vikrant6,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,305,TOEFL,103,69%,10,34
981,thegauravk,Rochester Institute of Technology,Information Science,Spring 2017 ,Applied,301,TOEFL,93,62%,0,34
982,sahni,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,302,ENG TEST,0,75.50%,0,34
983,sacharan,Rochester Institute of Technology,Information Science,Spring 2016 ,Applied,290,TOEFL,80,6 CGPA ,0,34
984,shikha28,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,304,TOEFL,90,6 CGPA ,30,34
985,Sashank1005,Rochester Institute of Technology,Information Science,Fall 2018 ,Admit,306,TOEFL,104,80.22%,20,34
986,Suraj Nair,Rochester Institute of Technology,Information Science,Fall 2018 ,Admit,311,TOEFL,102,62.80%,27,34
987,Yashdhawan,Rochester Institute of Technology,Information Science,Fall 2018 ,Admit,299,TOEFL,85,58.50%,24,34
988,frey_b,Rochester Institute of Technology,Information Science,Fall 2018 ,Admit,300,TOEFL,103,9 CGPA ,30,34
989,Sagerion,Rochester Institute of Technology,Information Science,Fall 2018 ,Admit,317,TOEFL,105,6.76 CGPA ,12,34
990,thakkarmayur1989,Rochester Institute of Technology,Information Science,Fall 2017 ,Admit,299,TOEFL,93,66%,48,34
991,rishi.nandedkar93,Rochester Institute of Technology,Information Science,Fall 2017 ,Admit,304,TOEFL,100,63%,0,34
992,Samywad91,Rochester Institute of Technology,Information Science,Fall 2017 ,Admit,301,TOEFL,85,62%,37,34
993,chris24,Rochester Institute of Technology,Information Science,Spring 2017 ,Admit,312,TOEFL,103,80%,36,34
994,nehamchangappa,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,302,TOEFL,98,7.7 CGPA ,0,34
995,nainapali,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,301,TOEFL,89,7.24 CGPA ,3,34
996,mvamsinadha,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,307,TOEFL,102,61%,28,34
997,vineetpalan,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,297,TOEFL,94,69.80%,30,34
998,saurabhbandawar1atgmail.com,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,300,IELTS,6.5,58.79%,26,34
999,amol_shandilya,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,305,TOEFL,104,7 CGPA ,6,34
1000,sikharani,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,302,TOEFL,101,64%,18,34
1001,jsriram7,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,309,TOEFL,104,7.3 CGPA ,30,34
1002,greatfall16,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,303,TOEFL,88,59%,1,34
1003,akhifall16,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,305,IELTS,7.5,8 CGPA ,6,34
1004,sameerkumar89,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,300,TOEFL,98,7.18 CGPA ,54,34
1005,Hemantha ,Rochester Institute of Technology,Information Science,Fall 2018 ,Reject,328,TOEFL,104,6 CGPA ,18,34
1006,pratha95,Rochester Institute of Technology,Information Science,Fall 2017 ,Reject,305,TOEFL,95,7 CGPA ,1,34
1007,Mansi96,Rochester Institute of Technology,Information Science,Spring 2018 ,Reject,293,TOEFL,96,7.58 CGPA ,5,34
1008,Saurabh23,Rochester Institute of Technology,Information Science,Spring 2017 ,Reject,304,TOEFL,95,6.1 CGPA ,0,34
1009,Surendar,Rochester Institute of Technology,Information Science, Fall 2016 ,Reject,294,TOEFL,96,8.9 CGPA ,40,34
1010,nainishah2092,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,297,TOEFL,92,56.68%,24,34
1011,Aditya007,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,302,TOEFL,93,74%,24,34
1012,dhwanils,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,312,TOEFL,107,53%,11,34
1013,jayesh522,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,294,TOEFL,88,62%,31,34
1014,pratt23,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,297,TOEFL,86,62.20%,32,34
1015,sayan1143,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,307,TOEFL,93,6.76 CGPA ,3,34
1016,Meehir,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,302,TOEFL,85,58%,18,34
1017,gaily,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,318,TOEFL,101,8.3 CGPA ,3,34
1018,charith27990,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,304,ENG TEST,0,61%,36,34
1019,sahityashetty19,Rochester Institute of Technology,Information Science,Fall 2015 ,Reject,304,TOEFL,97,61%,0,34
